1	23433	168692	
2	23480	165905	
3	23527	163639	
4	23844	149926	
5	23968	145388	
6	24013	144098	
7	24060	142978	
8	24068	142792	
9	24130	141380	
10	24138	141194	
11	24206	140003	
12	24326	138134	
13	24814	130967	
14	24874	130074	
15	24988	128511	
16	25097	127268	
17	25209	126078	
18	25450	123750	
19	25924	119534	
20	26316	116116	
21	28025	101650	
22	28166	100647	
23	28470	99058	
24	28601	98397	
25	29091	96184	
26	29549	94353	
27	30371	91179	
28	31180	88191	
29	31643	86510	
30	32313	84278	
31	32489	83718	
32	33384	81058	
33	33983	79293	
34	34680	77394	
35	34800	77073	
36	35218	76022	
37	36248	73586	
38	36854	72190	
39	38724	68030	
40	39164	67209	
41	40163	65423	
42	41306	63405	
43	42990	60669	
44	43676	59625	
45	45126	57518	
46	45899	56417	
47	46388	55762	
48	47270	54583	
49	48476	53064	
50	49911	51505	
51	51176	50321	
52	54619	47169	
53	56953	45136	
54	60795	42384	
55	62597	41238	
56	63176	40882	
57	64894	39912	
58	65100	39795	
59	66625	38996	
60	67621	38479	
61	69035	37786	
62	71195	36812	
63	73955	35597	
64	74652	35307	
65	76501	34547	
66	80935	33018	
67	87669	30773	
68	90126	30064	
69	91734	29638	
70	93872	29103	
71	97549	28241	
72	97845	28176	
73	99433	27846	
74	100914	27550	
75	106781	26518	
76	107535	26389	
77	108523	26227	
78	109945	26028	
79	112626	25676	
80	116050	25331	
81	121911	24755	
82	129273	24092	
83	134233	23688	
84	138359	23417	
85	141610	23224	
86	143902	23093	
87	144545	23056	
88	148599	22903	
89	151541	22798	
90	153590	22728	
91	160790	22520	
92	161846	22501	
93	166077	22445	
94	167992	22432	
